what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767244952856
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1767244953053
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244955803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244957927
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767244967189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767244974910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244976883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244978895
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767244979779
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767244980043
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1767244980315
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244980491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767244996195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245006158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245008493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245008574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245010590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245011376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245037961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1767245042343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767245044749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245045966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245059359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245068334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767245068976
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767245069355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245070389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245072149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245072172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245076556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245078467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245078492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245081570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245081611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245083345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1767245084502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245101442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245102439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245104492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245106398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245108142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245131543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245132974
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1767245204485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245209444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245214306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245233084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245235414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245235490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245237591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767245300236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767245300447
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767245302709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245304840
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767245311659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245311722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1767245311730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245320017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245341985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245346792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245358102
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767245358189
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767245358252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767245361964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767245363678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767245381130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245392833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1767245418659
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245420731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245430534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245431830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1767245432697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1767245432886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245433340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245460662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245470468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245478859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245482697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245485311
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245503277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245509885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245514213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245520303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245662988
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245684584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1767245706958
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767245889344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246197441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246261866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246548933
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767246551121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246565679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246584786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246600419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246607746
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767246616179
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767246617775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246623057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246626920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1767246626928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767246632418
